Episode_reward,episode
-286.2292489013363,427
-131.6393376461004,428
-307.00318017213027,429
-428.77958288483137,430
-130.58812017651263,431
-357.6013304151711,432
-926.5543613728378,433
-131.11952790466398,434
-260.9048452324567,435
-134.46648463849618,436
-264.3682002226004,437
-0.3251696599549742,438
-129.24645816162231,439
-128.56839953980506,440
-130.09193537825305,441
-419.5039599799257,442
-266.0338824811493,443
-426.09314158246985,444
-127.19881918845937,445
-263.18838755032715,446
-258.86289193906407,447
-271.096836608607,448
-389.65130588200174,449
-1031.9517676001858,450
-131.18981842282892,451
-0.898636174689319,452
-0.31304377708296094,453
-133.75025266907096,454
-404.99231506642457,455
-394.11673240044604,456
-464.8766583653142,457
-132.28334086021638,458
-136.11578944706451,459
-266.5710215054984,460
-132.0794712405045,461
-426.6872296142505,462
-0.40698260330357183,463
-138.08564120788893,464
-441.4021941759973,465
-253.54833070632137,466
-125.04346215500235,467
-129.232547160193,468
-129.59957341238032,469
-131.58540041371165,470
-0.11520531154230412,471
-256.8222429188776,472
-0.5340904204089344,473
-0.11227800539307481,474
-507.7925202898569,475
-128.79352500896024,476
-129.72501556935282,477
-276.97311219905663,478
-130.17404532044688,479
-0.9855007735629081,480
-274.73365370298256,481
-264.1171658327858,482
-0.6039651298632206,483
-1.888962290308856,484
-409.91178515945825,485
-130.33859574210902,486
-0.2526299082471999,487
-0.1920064976020393,488
-131.45519611727744,489
-125.74396990213165,490
-129.04985794559246,491
-0.5514446130732259,492
-370.824851015201,493
-129.04752417159904,494
-254.76937983878165,495
-259.73307483465777,496
-270.1910819389594,497
-130.98638206437136,498
-266.91815345927745,499
-131.3358679564876,500
-126.55290912236813,501
-1.614728945340729,502
-130.21371932527848,503
-295.18125820398853,504
-427.39651854717204,505
-453.70126943626775,506
-392.8612982565005,507
-132.3081411598238,508
-1.7547161753581573,509
-126.67013570862441,510
-442.2019227597015,511
-133.66773407708973,512
-133.69331730854222,513
-131.0922238467658,514
-133.01105763727813,515
-131.96783001342584,516
-279.9882998319758,517
-413.736116709116,518
-279.77571679128346,519
-131.44542173039224,520
-273.2931079674701,521
-127.1623159788046,522
-129.9227186861699,523
-263.37337100433604,524
-566.0529729813618,525
-129.73312095522687,526
-131.70386956436255,527
-130.13161424610283,528
-309.4025221242795,529
-507.67091242658097,530
